L1	L2	L3	L4	L5
chr12:629834-631834	-1714.07426951067	-3232.41970939261	-3900.54900180968	-1731.70231355706	-936.520979669772
chr5:136079470-136081470	-2794.87118476429	-8505.78161116861	-1406.57640722566	-3024.47092619266	-1207.40198735693
chr10:133527696-133531496	-5150.86837403776	-8577.6188662296	-3687.04315704856	-14757.0964865792	-2792.91691142602
chrY:5000455-5001456	-127.401727582861	-177.905194737138	-177.905194737138	-2339.03248737154	-177.905194737138
chrX:123456-125456	0	-0.102586588775101	-1.38629436111989	-0.102586588775101	-0.102586588775101
chr5:372263-374263	-776.189202838987	-3771.9939627553	-4835.14537460424	-7853.06121507337	-1215.25212316234
chr6:11043644-11045644	-589.528214277187	-2572.02093171522	-2056.58281909898	-18719.3891762948	-1286.01106095985
chr6:291329-293329	-3498.74093304712	-16364.939657931	-4080.72398736597	-8638.1286008221	-3332.67309006366
chr1:205849004-205851004	-1729.5558823336	-3554.42217133315	-1986.21256617549	-1864.39217704504	-944.804514190176
chr9:122225969-122227969	-4138.79552425633	-7355.07311027485	-14560.1811484908	-5494.98799611006	-2374.556481375
chr1:205849472-205850472	-1717.82406867136	-3421.42937289614	-1767.03379537099	-1750.03142225827	-924.969706366265
chr17:6654281-6655881	-2215.26950528531	-5019.80532178705	-2109.84761028419	-4641.96369850966	-1206.47972027915
chr20:62958448-62960048	-1759.25835535302	-4200.71294856555	-6183.30076110874	-1781.30729572809	-1208.62349906877
chr20:58888145-58890545	-1990.03954492198	-22631.8836754635	-3129.37338256601	-9009.20925306944	-2634.8561456101
chr20:58853745-58858545	-2037.64328399453	-26621.8412212853	-4739.65283726254	-2540.77062226091	-2553.09106214024
chr20:58849745-58852945	-1800.95874185954	-16955.8988493461	-4145.21860650054	-2517.87358752014	-2364.65558217145
chr20:58838945-58843945	-2610.72341566701	-31862.2006217761	-4026.61554915383	-3045.82463053045	-3023.71848699765
chr11:2132170-2135170	-1225.93799274709	-8215.79134191158	-6252.96625225424	-1863.76642615312	-1858.36676461205
chr11:94545034-94546434	-945.416440785256	-10936.7281163671	-1759.7237867247	-10710.0922293699	-1754.81334160088
